participant,congruency,v_mean,v_sd,a,z,ndt,value
1,Incongruent,0.042605683,3.639208803,2.054406642,69.88947361,408.5727677,0.12983679
1,Congruent,0.73373953,2.207162444,269.2335146,56.07352521,20.75790994,0.938492889
2,Incongruent,0.875512653,1.853242446,222.4161237,7.448860949,315.5615724,0.915911341
2,Congruent,0.008000531,3.56106724,60.28878679,27.58842568,239.0228157,0.219087328
3,Incongruent,0.020572033,4.728328928,3.720838949,33.64589146,451.1887302,0.137871901
3,Congruent,0.03769578,4.444486487,5.57772863,63.68968482,447.7313373,0.072158766
4,Incongruent,0.789199886,1.244364927,220.1450469,39.49200881,386.9802768,0.871597347
4,Congruent,0.758204208,1.108376391,322.4181437,-32.0515159,262.8566724,1.000000391
5,Incongruent,0.018655373,4.87935276,48.35741497,60.96010084,432.4915544,0.160789919
5,Congruent,0.048086439,4.024602371,33.29756232,11.22179343,466.4163626,0.186422044
6,Incongruent,0.574891472,4.496985214,286.2384492,61.04858205,86.07487397,0.938479131
6,Congruent,0.001890098,4.418088382,70.70942581,77.2861248,345.233004,0.135646274